variable	category	odds_ratio	standard_error	ci_lower	ci_upper	p_value	significant
Woman	Gender (Man)	0.4990290821488432	0.0709233805522498	0.37770328342986303	0.6593271378763644	1.0043771471212662e-06	True
35-54	Age (18-34)	0.4343687971268511	0.09700139224955742	0.280396063339658	0.672891943168526	0.00018846133716591616	True
55-64	Age (18-34)	0.36638023998637703	0.08391987993045377	0.2338639066961792	0.5739854522607627	1.1670083416397477e-05	True
65+	Age (18-34)	0.19147452070138887	0.043019641912918634	0.12327267554434794	0.29740972130224497	1.8769756516833792e-13	True
Centre	Geography (North)	1.1034862313170808	0.21023402945185476	0.7596222418651276	1.6030097535276957	0.6052417365121054	False
South&Islands	Geography (North)	0.8236153722266724	0.15156090426917096	0.5742316938647658	1.1813041471163255	0.29164518546774565	False
Abroad	Geography (North)	0.829418027293766	0.2891381887169789	0.41883355457317123	1.6425003596021546	0.591602900173011	False
Mid	Income (Lower)	1.3184600604838863	0.23962407603111147	0.923347116714104	1.8826472727584356	0.1282188992680588	False
Higher	Income (Lower)	1.725431552300359	0.376130205022177	1.1254925982755766	2.645165366911352	0.01233958520823244	True
Graduates	Education (Non-graduates)	1.5087853253036803	0.22308018618927353	1.1292075224518976	2.015956423057485	0.0054053604785087505	True
LT experience	LT experience	1.7355972058577327	0.13216418000318703	1.494963893215957	2.0149634881824023	4.4729578646416047e-13	True
LT literacy	LT literacy	20.76461731358797	6.981400898173158	10.743262226033664	40.13392981648757	1.8514912351081252e-19	True
