StartDate	EndDate	Status	Progress	Duration (in seconds)	Finished	RecordedDate	ResponseId	DistributionChannel	UserLanguage	Q_RecaptchaScore	Q_RelevantIDDuplicate	Q_DuplicateRespondent	Q_RelevantIDDuplicateScore	Q_RelevantIDFraudScore	Q_RelevantIDLastStartDate	Q14	Q1	Q6	Q17	Q17_6_TEXT	Istruzione	Q20	Q26	Q26_15_TEXT	Q10	Q10_2_TEXT	Q16	Q20-MT	Q20-MT_6_TEXT	Q21	Q21_8_TEXT	Q33	Q33_7_TEXT	Q34	Q34_8_TEXT	Q36	Q36_9_TEXT	Q43	Q43_9_TEXT	Q51_1	Q51_2	Q51_3	Q51_4	Q51_5	Q51_6	Q52	Q52_22_TEXT	Q53_1	Q53_2	Q53_3	Q53_4	Q53_5	Q53_6	Q53_7	Q53_8	Q53_9	Q53_10	Q53_11	Q53_12	Q53_13	Q53_14	Q53_15	Q53_16	Q53_17	Q53_18	Q53_19	Q53_20	Q53_21	Q53_22	Q53_23	Q53_24	Q53_25	Q53_25_TEXT	access	access_5_TEXT	language_used	language_used_3_TEXT	Q46	interaction_mode	interaction_mode_4_TEXT	Q48	strategies	strategies_5_TEXT	verification	Q54	Q61	Q62	Q63	Q64	Q65	Q66	Q67	Q67_7_TEXT	prior_knowledge	education_technology	likert_1_1	likert_1_3	likert_1_4	likert_1_5	likert_1_6	likert_2_1	likert_2_2	likert_2_3	personal_experience	Q85	never_used	never_used_5_TEXT	reason_never_used	reason_never_used_4_TEXT	future_use	future_use_7_TEXT	Q_DataPolicyViolations	Q_StraightliningCount	Q_StraightliningPercentage	Q_StraightliningQuestions	Q_UnansweredPercentage	Q_UnansweredQuestions	mapped_job	weight	EducationGroup	GeographyGroup	GenderGroup	IncomeGroup	AgeGroup	Eduarea	Education_STEM	LT_exp	lt_lit01	lt_lit	chatbot_user	InfoRetrieval_freq	ProblemSolving_freq	Learning_freq	ContentCreation_freq	Entertainment_freq	Creativity_freq
2025-05-23 2:27:17	2025-05-23 2:32:43	IP Address	100	325	True	2025-05-23 2:32:43	R_2ZE9jb0FUPux0tt	anonymous	IT	0.8000000119			0.0	0.0		Sì (partecipo allo studio)	Madrelingua	25-34 anni	Donna		Laurea magistrale o master di primo livello	Area economico-giuridica	Finanza		Nord-Ovest, Italia		Medio Alta	Google Traduttore		Non ho mai usato applicazioni di assistenti vocali		Non ho mai usato applicazioni di scrittura assistita		Non ho mai usato applicazioni di trascrizione del parlato		Non ho mai usato applicazioni di produzione di voce		ChatGPT,Gemini,Copilot		Almeno una volta al mese	Meno di una volta al mese	Almeno una volta al mese	Almeno una volta al mese	Mai	Mai	Raccolta idee e creazione di bozze,Controllo della veridicità di un'informazione,Analisi e comprensione di dati							Studio/Lavoro					Studio/Lavoro,Svago/Uso personale										Studio/Lavoro						Interfaccia Web da computer		Italiano,Inglese			Principalmente scrivendo			Fornisco istruzioni dettagliate fin da subito,Faccio domande di approfondimento o continuo a dialogare finché non ottengo ciò che voglio,Fornisco esempi concreti per spiegare cosa voglio ottenere		A volte, verifico solo quando qualcosa mi sembra dubbio o non posso permettermi di sbagliare	No									Sì	No	1	1	3	3	2	4	2	4	Sì									0	0.0		0.09375	QID46,QID48,QID85	Finanza	0.58	Graduates	North	Woman	Higher	18-34	Area economico-giuridica	Graduates Other	1	2.5714285714285716	0.6428571428571429	Yes	2.0	1.0	2.0	2.0	0.0	0.0
2025-05-23 2:33:42	2025-05-23 2:39:23	IP Address	100	341	True	2025-05-23 2:39:24	R_8CT67Tz9qI28TCL	anonymous	IT	0.8999999762			0.0	0.0		Sì (partecipo allo studio)	Madrelingua	25-34 anni	Uomo		Laurea magistrale o master di primo livello	Area umanistica e sociale	Ricerca e accademia		Nord-Est, Italia		Medio Bassa	Google Traduttore,DeepL,Microsoft Bing,Amazon Translator		Siri,Assistente Google,Alexa,Bibxy		Non ho mai usato applicazioni di scrittura, ma ho usato ChatGPT/Gemini o tecnologie simili per supporto alla scrittura		Non ho mai usato applicazioni di trascrizione del parlato		Non ho mai usato applicazioni di produzione di voce		ChatGPT,Gemini,Claude,Copilot,Perplexity,Dall-E,Mid-Journey		Almeno una volta a settimana	Almeno una volta a settimana	Almeno una volta a settimana	Almeno una volta a settimana	Almeno una volta a settimana	Almeno una volta a settimana	Scrittura di email,Scrittura creativa,Scrittura accademica,Altra scrittura,Analisi, comprensione e formattazione del testo,Raccolta idee e creazione di bozze,Spiegazioni,Riassunti,Pianificazione viaggi e itinerari,Controllo della veridicità di un'informazione,Consigli personali,Consigli medici,Altri consigli e suggerimenti,Assistenza ai linguaggi di programmazione,Analisi e comprensione di dati,Generazione di immagini,Generazione di audio o musica		Studio/Lavoro,Svago/Uso personale	Studio/Lavoro,Svago/Uso personale	Studio/Lavoro	Studio/Lavoro,Svago/Uso personale	Studio/Lavoro	Studio/Lavoro,Svago/Uso personale	Studio/Lavoro,Svago/Uso personale	Studio/Lavoro		Studio/Lavoro,Svago/Uso personale	Studio/Lavoro,Svago/Uso personale	Svago/Uso personale	Svago/Uso personale	Studio/Lavoro,Svago/Uso personale						Studio/Lavoro,Svago/Uso personale	Studio/Lavoro,Svago/Uso personale	Studio/Lavoro,Svago/Uso personale	Svago/Uso personale				Applicazione su smartphone,Interfaccia Web da computer,API (linguaggio di programmazione)		Italiano,Inglese			Principalmente scrivendo			Fornisco istruzioni dettagliate fin da subito,Faccio domande di approfondimento o continuo a dialogare finché non ottengo ciò che voglio,Fornisco esempi concreti per spiegare cosa voglio ottenere		A volte, verifico solo quando qualcosa mi sembra dubbio o non posso permettermi di sbagliare	Sì	Parzialmente sostituito		Parzialmente sostituito			Completamente sostituito	Più comodo,Più accurato,Più affidabile,Più flessibile e personalizzabile		Sì	Sì, sul posto di lavoro/a scuola	4	4	4	4	3	4	3	3	Sì									1	0.5	QID51	0.08333333333	QID46,QID48,QID85	Ricerca e accademia	0.49	Graduates	North	Man	Lower	18-34	Area umanistica e sociale	Graduates Other	2	3.7142857142857144	0.9285714285714286	Yes	3.0	3.0	3.0	3.0	3.0	3.0
2025-05-23 2:49:11	2025-05-23 2:57:29	IP Address	100	497	True	2025-05-23 2:57:29	R_2CECSpMrA1A2hEd	anonymous	IT	0.8999999762			0.0	0.0		Sì (partecipo allo studio)	Madrelingua	25-34 anni	Uomo		Laurea triennale o a ciclo unico	Area umanistica e sociale	Non lavoro al momento		Nord-Est, Italia		Bassa	Google Traduttore,DeepL		Siri		Non ho mai usato applicazioni di scrittura assistita		Non ho mai usato applicazioni di trascrizione del parlato		Non ho mai usato applicazioni di produzione di voce		ChatGPT		Almeno una volta al mese	Almeno una volta al mese	Almeno una volta a settimana	Meno di una volta al mese	Mai	Mai	Scrittura accademica,Controllo della veridicità di un'informazione				Studio/Lavoro								Studio/Lavoro																Interfaccia Web da computer		Italiano		In base al lavoro che devo svolgere	Principalmente scrivendo		Preferisco scrivere per evitare eventuali utilizzi impropri della mia voce	Faccio domande di approfondimento o continuo a dialogare finché non ottengo ciò che voglio		A volte, verifico solo quando qualcosa mi sembra dubbio o non posso permettermi di sbagliare	Forse/non so	Parzialmente sostituito		Parzialmente sostituito			Parzialmente sostituito	Più comodo,Più flessibile e personalizzabile		Sì	No, ma ho seguito corsi su altre tecnologie di Intelligenza Artificiale	2	2	2	2	3	3	3	2	Non so									1	0.5	QID53	0.02777777778	QID85	Non lavoro al momento	0.49	Graduates	North	Man	Lower	18-34	Area umanistica e sociale	Graduates Other	2	2.2857142857142856	0.5714285714285714	Yes	2.0	2.0	3.0	1.0	0.0	0.0
2025-05-23 2:51:57	2025-05-23 2:58:04	IP Address	100	366	True	2025-05-23 2:58:04	R_8f93aWfiSbk9k6u	anonymous	IT	0.8999999762			0.0	0.0		Sì (partecipo allo studio)	Avanzata (C1)	35-44 anni	Donna		Diploma di scuola superiore		Costruzioni		Nord-Est, Italia		Bassa	Google Traduttore		Siri		Non ho mai usato applicazioni di scrittura, ma ho usato ChatGPT/Gemini o tecnologie simili per supporto alla scrittura		Non ho mai usato applicazioni di trascrizione, ma ho usato ChatGPT/Gemini o tecnologie simili per trascrivere parlato		Non ho mai usato applicazioni di produzione di voce, ma ho usato ChatGPT/Gemini o tecnologie simili per produzione di voce		ChatGPT		Almeno una volta al mese	Almeno una volta al mese	Almeno una volta a settimana	Almeno una volta al mese	Meno di una volta al mese	Almeno una volta a settimana	Scrittura di email,Scrittura accademica,Analisi, comprensione e formattazione del testo,Spiegazioni		Studio/Lavoro		Studio/Lavoro		Studio/Lavoro		Studio/Lavoro,Svago/Uso personale																				Interfaccia Web da smartphone,Interfaccia Web da computer		Italiano			Principalmente scrivendo			Fornisco istruzioni dettagliate fin da subito,Faccio domande di approfondimento o continuo a dialogare finché non ottengo ciò che voglio,Fornisco esempi concreti per spiegare cosa voglio ottenere		Sempre, mi voglio assicurare che le risposte siano affidabili	No									Sì	No	0	0	0	0	0	0	0	0	No									0	0.0		0.09677419355	QID46,QID48,QID85	Costruzioni	0.81	Non-graduates	North	Woman	Lower	35-54		Non-graduates	2	0.0	0.0	Yes	2.0	2.0	3.0	2.0	1.0	3.0
2025-05-23 2:57:43	2025-05-23 3:02:41	IP Address	100	297	True	2025-05-23 3:02:41	R_8E5HNWdWJ4Pra9z	anonymous	IT	0.6999999881			0.0	0.0		Sì (partecipo allo studio)	Madrelingua	25-34 anni	Uomo		Laurea triennale o a ciclo unico	Area artistica e delle discipline creative	Cultura e spettacolo		Nord-Est, Italia		Non lo so/preferisco non rispondere	Google Traduttore,DeepL		Assistente Google		Non ho mai usato applicazioni di scrittura assistita		Non ho mai usato applicazioni di trascrizione del parlato		Non ho mai usato applicazioni di produzione di voce		ChatGPT		Meno di una volta al mese	Almeno una volta al mese	Mai	Almeno una volta al mese	Meno di una volta al mese	Meno di una volta al mese	Scrittura creativa,Raccolta idee e creazione di bozze,Pianificazione viaggi e itinerari			Studio/Lavoro				Studio/Lavoro				Svago/Uso personale																	Interfaccia Web da computer		Italiano,Inglese			Principalmente scrivendo			Faccio domande di approfondimento o continuo a dialogare finché non ottengo ciò che voglio		A volte, verifico solo quando qualcosa mi sembra dubbio o non posso permettermi di sbagliare	Forse/non so	Parzialmente sostituito		Non e' cambiato			Non e' cambiato	Più comodo		Sì	No	2	1	2	2	4	4	2	2	Sì									0	0.0		0.08333333333	QID46,QID48,QID85	Cultura e spettacolo	0.49	Graduates	North	Man		18-34	Area artistica e delle discipline creative	Graduates Other	2	2.142857142857143	0.5357142857142857	Yes	1.0	2.0	0.0	2.0	1.0	1.0
2025-05-23 2:57:01	2025-05-23 3:04:43	IP Address	100	462	True	2025-05-23 3:04:43	R_2lgegak9zRmH9vn	anonymous	IT	0.8000000119			0.0	0.0		Sì (partecipo allo studio)	Madrelingua	25-34 anni	Donna		Laurea triennale o a ciclo unico	Area umanistica e sociale	Altro	commercio	Nord-Est, Italia		Medio Bassa	Google Traduttore		Siri		Non ho mai usato applicazioni di scrittura, ma ho usato ChatGPT/Gemini o tecnologie simili per supporto alla scrittura		Note Apple		Non ho mai usato applicazioni di produzione di voce		ChatGPT		Almeno una volta a settimana	Meno di una volta al mese	Mai	Meno di una volta al mese	Mai	Mai	Scrittura accademica				Studio/Lavoro																								Applicazione su smartphone,Interfaccia Web da computer		Italiano			Principalmente scrivendo			Fornisco istruzioni dettagliate fin da subito		A volte, verifico solo quando qualcosa mi sembra dubbio o non posso permettermi di sbagliare	No									Sì	No	1	0	4	4	1	2	0	0	No									1	0.5	QID53	0.09375	QID46,QID48,QID85	Impresa e consulenza aziendale	0.28	Graduates	North	Woman	Lower	18-34	Area umanistica e sociale	Graduates Other	3	1.5714285714285714	0.39285714285714285	Yes	3.0	1.0	0.0	1.0	0.0	0.0
2025-05-23 2:57:47	2025-05-23 3:06:42	IP Address	100	534	True	2025-05-23 3:06:43	R_8G5cIVousr1sc2l	anonymous	IT	0.8999999762			0.0	0.0		Sì (partecipo allo studio)	Madrelingua	55-64 anni	Donna		Laurea magistrale o master di primo livello	Area umanistica e sociale	Altro	Editoria	Nord-Est, Italia		Media	Google Traduttore		Non ho mai usato applicazioni di assistenti vocali, ma ho usato ChatGPT/Gemini o tecnologie simili come assistenti vocali		Non ho mai usato applicazioni di scrittura, ma ho usato ChatGPT/Gemini o tecnologie simili per supporto alla scrittura		Non ho mai usato applicazioni di trascrizione del parlato		Non ho mai usato applicazioni di produzione di voce		ChatGPT		Almeno una volta al mese	Almeno una volta al mese	Mai	Almeno una volta a settimana	Mai	Meno di una volta al mese	Scrittura di email,Riassunti		Studio/Lavoro							Studio/Lavoro																			Interfaccia Web da computer		Italiano			Principalmente scrivendo			Fornisco istruzioni dettagliate fin da subito		Sempre, mi voglio assicurare che le risposte siano affidabili	Forse/non so	Parzialmente sostituito					Non e' cambiato	Più comodo,Più accurato		Sì	No, ma ho seguito corsi su altre tecnologie di Intelligenza Artificiale	1	4	3	3	1	3	3	1	No									1	0.5	QID53	0.08571428571	QID46,QID48,QID85	IT e media	0.53	Graduates	North	Woman	Mid	55-64	Area umanistica e sociale	Graduates Other	1	2.5714285714285716	0.6428571428571429	Yes	2.0	2.0	0.0	3.0	0.0	1.0
2025-05-23 3:01:54	2025-05-23 3:09:14	IP Address	100	440	True	2025-05-23 3:09:14	R_2kEUK3YHo3BrQ25	anonymous	IT	0.8999999762			0.0	0.0		Sì (partecipo allo studio)	Madrelingua	Dai 65 anni in su	Donna		Laurea magistrale o master di primo livello	Area sanitaria e delle scienze mediche	In pensione		Nord-Ovest, Italia		Medio Alta	Google Traduttore		Assistente Google,Alexa		Non ho mai usato applicazioni di scrittura assistita		Non ho mai usato applicazioni di trascrizione, ma ho usato ChatGPT/Gemini o tecnologie simili per trascrivere parlato		Non ho mai usato applicazioni di produzione di voce		Non ho mai usato queste tecnologie																																																								Sì	No	0	1	0	1	3	2	1	2	No		Li conosco, ma non penso siano utili per me				Supporto nel capire come funzionano e come usarli			0	0.0		0.04347826087	QID85	In pensione	2.16	Graduates	North	Woman	Higher	65+	Area sanitaria e delle scienze mediche	Graduates STEM	2	1.0	0.25	No						
2025-05-23 2:59:56	2025-05-23 3:09:55	IP Address	100	599	True	2025-05-23 3:09:56	R_8S0isXxnHh4fPMp	anonymous	IT	0.8999999762			0.0	0.0		Sì (partecipo allo studio)	Madrelingua	25-34 anni	Donna		Laurea magistrale o master di primo livello	Area umanistica e sociale	Altro	Assistenza sociale	Nord-Ovest, Italia		Medio Bassa	Google Traduttore,Altre applicazioni (indicare altro anche se non ricordi il nome)	Matecat	Siri,Alexa		Non ho mai usato applicazioni di scrittura assistita		Non ho mai usato applicazioni di trascrizione del parlato		Non ho mai usato applicazioni di produzione di voce		ChatGPT		Almeno una volta al mese	Almeno una volta al mese	Almeno una volta al mese	Almeno una volta al mese	Almeno una volta a settimana	Almeno una volta al mese	Controllo della veridicità di un'informazione,Consigli personali,Generazione di immagini												Studio/Lavoro,Svago/Uso personale	Svago/Uso personale										Svago/Uso personale					Interfaccia Web da computer		Italiano			Principalmente scrivendo			Faccio domande di approfondimento o continuo a dialogare finché non ottengo ciò che voglio,Fornisco esempi concreti per spiegare cosa voglio ottenere		Dipende dal contesto	Sì	Non e' cambiato		Parzialmente sostituito			Parzialmente sostituito	Più comodo,Più flessibile e personalizzabile		Non so	No	0	0	1	1	4	4	1	1	No									0	0.0		0.08333333333	QID46,QID48,QID85	Sanità	0.58	Graduates	North	Woman	Lower	18-34	Area umanistica e sociale	Graduates Other	2	1.1428571428571428	0.2857142857142857	Yes	2.0	2.0	2.0	2.0	3.0	2.0
2025-05-23 2:59:58	2025-05-23 3:10:51	IP Address	100	652	True	2025-05-23 3:10:52	R_2QolcydJ3UoXlF1	anonymous	IT	0.6999999881			0.0	0.0		Sì (partecipo allo studio)	Madrelingua	25-34 anni	Donna		Laurea magistrale o master di primo livello	Area umanistica e sociale	Altro	Sociale accoglienza	Nord-Est, Italia		Medio Bassa	Google Traduttore		Non ho mai usato applicazioni di assistenti vocali		Non ho mai usato applicazioni di scrittura assistita		Non ho mai usato applicazioni di trascrizione del parlato		Non ho mai usato applicazioni di produzione di voce		ChatGPT		Meno di una volta al mese	Meno di una volta al mese	Mai	Mai	Meno di una volta al mese	Meno di una volta al mese	Conversazioni filosofiche o politiche																			Svago/Uso personale									Interfaccia Web da smartphone		Italiano		Confidenza con la lingua madre	Principalmente scrivendo		No	Faccio domande di approfondimento o continuo a dialogare finché non ottengo ciò che voglio		Dipende dal contesto	No									Sì	No	0	1	3	3	2	3	4	3	Sì	Usato come fonte, spesso è impreciso in temi filosofici e politici. Tende a semplificare le informazioni ed è facilmente manipolabile. Ma sono consapevole che Chat gpt non ha funzione di fonte								1	0.5	QID53	0.0		Altro	0.28	Graduates	North	Woman	Lower	18-34	Area umanistica e sociale	Graduates Other	1	2.4285714285714284	0.6071428571428571	Yes	1.0	1.0	0.0	0.0	1.0	1.0
